candidate	count	files	forms	first_source
caller	5	4	"{""callers"": 3, ""caller"": 2}"	docs/en/ch07.md:5
parameter	5	2	"{""parameters"": 4, ""parameter"": 1}"	docs/en/ch08.md:5
harder	5	3	"{""harder"": 5}"	docs/en/ch09.md:7
martin	5	2	"{""Martin"": 5}"	docs/en/ch09.md:37
system's	5	4	"{""system's"": 5}"	docs/en/ch12.md:3
system's design	5	4	"{""system's design"": 5}"	docs/en/ch12.md:3
important information	5	3	"{""important information"": 5}"	docs/en/ch13.md:3
leverage	5	3	"{""leverage"": 5}"	docs/en/ch17.md:3
award	5	1	"{""awards"": 1, ""Award"": 4}"	docs/en/summary.md:45
design process	4	3	"{""design process"": 3, ""Design Process"": 1}"	docs/en/README.md:9
collection	4	4	"{""collection"": 4}"	docs/en/README.md:9
set	4	4	"{""set"": 4}"	docs/en/README.md:9
pattern	4	3	"{""patterns"": 2, ""pattern"": 2}"	docs/en/preface.md:3
computer science	4	2	"{""computer science"": 1, ""Computer Science"": 3}"	docs/en/preface.md:5
bit	4	4	"{""bit"": 4}"	docs/en/preface.md:7
infrastructure	4	3	"{""infrastructure"": 4}"	docs/en/preface.md:13
GUI	4	3	"{""GUI"": 4}"	docs/en/preface.md:13
email	4	1	"{""email"": 4}"	docs/en/preface.md:19
reason	4	3	"{""reason"": 2, ""reasons"": 2}"	docs/en/preface.md:25
ousterhout	4	2	"{""Ousterhout"": 4}"	docs/en/preface.md:29
beginning	4	4	"{""beginning"": 4}"	docs/en/ch01.md:14
waterfall	4	1	"{""waterfall"": 4}"	docs/en/ch01.md:14
waterfall model	4	1	"{""waterfall model"": 4}"	docs/en/ch01.md:14
model	4	1	"{""model"": 4}"	docs/en/ch01.md:14
major design	4	2	"{""major design"": 4}"	docs/en/ch01.md:16
design issue	4	2	"{""design issues"": 3, ""design issue"": 1}"	docs/en/ch01.md:22
fraction	4	4	"{""fraction"": 4}"	docs/en/ch01.md:22
important element	4	4	"{""important element"": 1, ""important elements"": 3}"	docs/en/ch01.md:24
C	4	3	"{""C"": 4}"	docs/en/ch01.md:38
network	4	4	"{""network"": 4}"	docs/en/ch01.md:38
low level	4	4	"{""lower level"": 2, ""low level"": 2}"	docs/en/ch02.md:3
simplicity	4	2	"{""simplicity"": 4}"	docs/en/ch02.md:5
others	4	4	"{""others"": 4}"	docs/en/ch02.md:5
assumption	4	3	"{""assumptions"": 3, ""assumption"": 1}"	docs/en/ch02.md:7
modification	4	3	"{""modifications"": 4}"	docs/en/ch02.md:19
good software design	4	3	"{""good software design"": 4}"	docs/en/ch03.md:3
simple interface	4	4	"{""simple interfaces"": 1, ""simplest interface"": 1, ""simple interface"": 2}"	docs/en/ch04.md:21
specification	4	1	"{""specification"": 4}"	docs/en/ch04.md:23
information leakage	4	3	"{""information leakage"": 4}"	docs/en/ch05.md:27
leakage	4	3	"{""leakage"": 4}"	docs/en/ch05.md:27
knowledge	4	3	"{""knowledge"": 4}"	docs/en/ch05.md:27
cause	4	3	"{""causes"": 2, ""cause"": 2}"	docs/en/ch06.md:3
investment mindset	4	4	"{""investment mindset"": 4}"	docs/en/ch06.md:11
facility	4	2	"{""facilities"": 4}"	docs/en/ch06.md:13
current need	4	1	"{""current needs"": 4}"	docs/en/ch06.md:17
memory	4	2	"{""memory"": 4}"	docs/en/ch06.md:23
specific feature	4	1	"{""specific features"": 4}"	docs/en/ch06.md:25
deletion	4	2	"{""deletions"": 3, ""deletion"": 1}"	docs/en/ch06.md:35
large number	4	2	"{""large number"": 4}"	docs/en/ch06.md:41
delete	4	1	"{""delete"": 4}"	docs/en/ch06.md:41
string	4	1	"{""string"": 4}"	docs/en/ch06.md:55
text API	4	1	"{""text API"": 4}"	docs/en/ch06.md:73
backspace method	4	1	"{""backspace method"": 4}"	docs/en/ch06.md:73
separation	4	2	"{""separation"": 3, ""Separation"": 1}"	docs/en/ch06.md:85
single character	4	2	"{""single character"": 3, ""single characters"": 1}"	docs/en/ch06.md:97
undo redo	4	1	"{""undo redo"": 4}"	docs/en/ch06.md:109
insertion cursor	4	1	"{""insertion cursor"": 4}"	docs/en/ch06.md:109
handler	4	2	"{""handlers"": 3, ""handler"": 1}"	docs/en/ch06.md:113
entity	4	3	"{""entity"": 3, ""entities"": 1}"	docs/en/ch06.md:113
policy	4	2	"{""policy"": 4}"	docs/en/ch06.md:143
check	4	2	"{""checks"": 4}"	docs/en/ch06.md:155
can't	4	3	"{""can't"": 4}"	docs/en/ch06.md:163
extra work	4	4	"{""extra work"": 4}"	docs/en/ch08.md:3
administrator	4	2	"{""administrator"": 3, ""administrators"": 1}"	docs/en/ch08.md:5
manipulation	4	2	"{""manipulation"": 2, ""manipulations"": 2}"	docs/en/ch09.md:16
high level software	4	1	"{""higher level software"": 4}"	docs/en/ch11.md:9
level software	4	1	"{""level software"": 4}"	docs/en/ch11.md:9
smart people	4	1	"{""smart people"": 4}"	docs/en/ch11.md:23
variable name	4	2	"{""variable names"": 1, ""variable name"": 3}"	docs/en/ch12.md:7
fun	4	2	"{""fun"": 4}"	docs/en/ch12.md:7
